Sr. No. ,Question ,Answer
1,Company name,Akash blowers private limited
2,Company Mission,To Serve our customers as their most trusted and reliable partner in the Blower Industry.
3,Company vision,"To become the No. 1 company in the Industry which delivers quality products for its customers, believes in Innovation to meet the changing needs of the Customers and Market and are able to keep their Employees and stakeholders Happy and Satisfied, thus ensuring their growth along with the Company"
4,Company History ,"Mr. J.P. Sharma started a firm in 1984 named AKASH Engineering Works which used to manufacture spares for Hindustan National Glass (HNG).
1996 to 2009 supplied few spares to Everest like gear hub.
2009 to 2015 manufactured complete blowers for Blowvacc
In 2015 started our branding AKASH and 100% production for A1 Blowers done side by side till Sept. 2018.
From 2018 to till date we are doing 100% production for self only."
5,Milestones/Positions Statements,"4 hour dispatch in DELHI NCR
24-48  dispatch in PAN India
41000+ Blowers Installed
15 minute response time on call
3700+ Client trust
83% repeat client
11+ Year Industry Experience
643+ Cities In PAN india
"
6,Core values,"
- Passion to Win & Be-The-Best at whatever we do.
- Integrity knowing what is right and acting responsibly with our clients, colleagues and community.
- Innovation anticipating our clients’ needs.
- Dedication for unparalleled quality and proven success.
- Guidance serving our client with experienced guidance regarding their actual needs.
"
7,Products Terms & Conditions,https://docs.google.com/document/d/1vf0mKgrnh0kr2x6121pdx84WibDi2vRmPclltewh74o/edit?usp=sharing
8,Company logo ,https://akashblowers.com/wp-content/uploads/2025/09/Akash-Blowers-2048x1214.png
9,Facebook page,https://www.facebook.com/akashblowers
10,YouTube Channel,https://www.youtube.com/akashblowers
11,Instagram Page,https://www.instagram.com/akashblowers/
12,LinkedIn,https://www.linkedin.com/company/akashblowers/
13,Company Address,"Plot No. 1710, Modern Industrial Estate, Part-B, Bahadurgarh, Distt-Jhajjar, Haryana, PIN-124507, India
Google Link: https://maps.app.goo.gl/QeTta3qttvtCQzSq8"
14,Office Timings,Monday to Saturday 10am to 6:30pm
15,Warranty ,18 Months
16,Service Policy ,Service Support 24-48hrs
17,Payment Return Policy ,60 days money back Gaurantee
18,Weekly off,Sunday
19,National holiday,2026-01-26 Republic Day
20,,2026-08-15 Independence Day
21,,2026-10-02 Gandhi Jayanti
22,Festival holiday,2026-03-08 Holi
23,,2026-11-09 Diwali
24,,2026-10-20 Dussehra
25,,2026-09-04 Janmashtami
26,,2026-11-10 Govardhan Pooja 
27,,2026-08-28 Rakshabandhan
28,Company tagline,"Peace of Mind, Delivered"
29,Target audiences & segments,"1. Primary Target Segments (High Conversion)
○	Sewage Treatment Plants (STP)
○	Effluent Treatment Plants (ETP)
○	Wastewater Treatment Plants (WWTP)
○	Textile Industries
○	Cement Plants
○	Steel & Metal Industries 
○	Power Plants
○	Paper & Pulp Industries  
○	Sugar Mills
○	Chemical & Pharmaceutical Plants
○	Food & Beverage Industries
○	Fertilizer Plants

2. EPC & Project-Based Buyers (Bulk Orders)
●	EPC Contractors
●	Water Treatment EPC Companies
●	Infrastructure Project Contractors
●	Environmental Engineering Firms
●	Municipal Project Contractors

3. OEM Segment (Repeat Business)
●	STP / ETP Plant OEMs
●	Sludge Dewatering Machine OEMs
●	Aeration System Manufacturers
●	Pneumatic Conveying System OEMs
●	Air Knife System OEMs

4. Dealers, Distributors & Traders
●	Industrial Equipment Dealers
●	Blower Distributors
●	Machinery Traders
●	Engineering Equipment Suppliers
●	IndiaMART / TradeIndia Sellers

5. Consultants & Decision Influencers
●	Environmental Consultants
●	Mechanical Consultants
●	Process Consultants
●	Government Approved Consultants
●	Pollution Control Board Consultants
6. Government & PSU Segment
●	Municipal Corporations
●	Jal Nigam
●	Water Boards
●	Smart City Projects
●	CPWD / PWD
●	PSU Companies

7. Export / International Buyers
●	Water Treatment Companies (Asia, Africa, Middle East)
●	Industrial Equipment Importers
●	International EPC Firms
"
30,Marketing campaigns summaries,"We generate leads by meta ads, google ads, linkedin & Ecommerece platform like Indiamart, Export India etc."
